#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_10_length_177647_cov_38.617480	1804	4883	+	icmF/tssM	375-3454/3456	.==============	0/0	89.12	98.25	vfdb	WP_049127998	(icmF/tssM) type VI secretion protein TssM [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_10_length_177647_cov_38.617480	5751	6472	+	impA/tssA	872-1594/1599	.......=/======	11/21	44.53	66.03	vfdb	WP_015874732	(impA/tssA) type VI secretion system protein TssA [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_10_length_177647_cov_38.617480	6557	8311	+	tssF	1-1755/1755	===============	0/0	100.00	99.26	vfdb	WP_004190505	(tssF) type VI secretion system baseplate subunit TssF [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_10_length_177647_cov_38.617480	8275	9360	+	tssG	1-1086/1086	===============	0/0	100.00	99.82	vfdb	WP_004190503	(tssG) type VI secretion system baseplate subunit TssG [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_10_length_177647_cov_38.617480	9338	9880	+	sciN/tssJ	1-543/543	===============	0/0	100.00	100.00	vfdb	WP_004176417	(sciN/tssJ) type VI secretion system lipoprotein TssJ [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_1106_length_251_cov_0.844828	1	232	-	pmrA	106-337/669	..======.......	0/0	34.68	79.31	vfdb	NP_463157	(pmrA) response regulator PmrA [PmrAB (VF1355) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_119_length_542_cov_1.111828	255	522	+	papA	1-268/567	=======./......	5/10	46.38	81.32	vfdb	WP_000597756	(papA) P pilus major subunit PapA [P fimbriae (VF0220) - Adherence (VFC0001)] [Escherichia coli CFT073]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_11_length_161193_cov_40.800982	139870	140502	+	pmrA	17-649/669	========/======	2/2	94.47	73.19	vfdb	NP_463157	(pmrA) response regulator PmrA [PmrAB (VF1355) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_11_length_161193_cov_40.800982	140555	141589	+	pmrB	24-1058/1071	========/======	10/22	95.61	66.44	vfdb	NP_463156	(pmrB) sensory kinase PmrB [PmrAB (VF1355) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_125_length_533_cov_97.732456	1	533	-	vipB/tssC	922-1454/1545	........=======	0/0	34.50	98.12	vfdb	WP_014907727	(vipB/tssC) type VI secretion system contractile sheath large subunit VipB [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_1320_length_239_cov_1.370370	2	239	-	clbQ	35-272/723	======.........	0/0	32.92	98.74	vfdb	WP_000065646	(clbQ) colibactin biosynthesis thioesterase ClbQ  [Colibactin (VF0573) - Exotoxin (VFC0235)] [Klebsiella pneumoniae subsp. pneumoniae 1084]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569676/contigs.fasta	NODE_134_length_513_cov_0.878440	1	513	-	gspL	514-1026/1179	......========.	0/0	43.51	93.18	vfdb	WP_000097229	(gspL) general secretion pathway protein L [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]	
