#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_10_length_177647_cov_22.809360	167768	168310	-	sciN/tssJ	1-543/543	===============	0/0	100.00	100.00	vfdb	WP_004176417	(sciN/tssJ) type VI secretion system lipoprotein TssJ [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_10_length_177647_cov_22.809360	168288	169373	-	tssG	1-1086/1086	===============	0/0	100.00	99.82	vfdb	WP_004190503	(tssG) type VI secretion system baseplate subunit TssG [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_10_length_177647_cov_22.809360	169337	171091	-	tssF	1-1755/1755	===============	0/0	100.00	99.26	vfdb	WP_004190505	(tssF) type VI secretion system baseplate subunit TssF [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_10_length_177647_cov_22.809360	171176	171897	-	impA/tssA	872-1594/1599	.......=/======	11/21	44.53	66.03	vfdb	WP_015874732	(impA/tssA) type VI secretion system protein TssA [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_10_length_177647_cov_22.809360	172765	175844	-	icmF/tssM	375-3454/3456	.==============	0/0	89.12	98.25	vfdb	WP_049127998	(icmF/tssM) type VI secretion protein TssM [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	11219	11965	-	entA	1-747/747	===============	0/0	100.00	98.66	vfdb	WP_086074289	(entA) 23-dihydroxybenzoate-23-dehydrogenase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	11974	12825	-	entB	1-852/852	===============	0/0	100.00	99.41	vfdb	WP_004210873	(entB) 23-dihydro-23-dihydroxybenzoate synthetase isochroismatase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	12839	14446	-	entE	1-1608/1608	===============	0/0	100.00	99.50	vfdb	WP_004183353	(entE) enterobactin synthase subunit E [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	14456	15631	-	entC	1-1176/1176	===============	0/0	100.00	99.49	vfdb	WP_014907941	(entC) isochorismate synthase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	15821	16779	+	fepB	2-960/960	===============	0/0	99.90	99.58	vfdb	WP_012737621	(fepB) iron-enterobactin transporter periplasmic binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	16923	18164	-	entS	1-1242/1242	===============	0/0	100.00	99.19	vfdb	WP_004147525	(entS) enterobactin exporter EntS [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	18277	19284	+	fepD	1-1008/1008	===============	0/0	100.00	99.50	vfdb	WP_004176917	(fepD) iron-enterobactin transporter membrane protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	19281	20273	+	fepG	1-993/993	===============	0/0	100.00	98.79	vfdb	WP_004147521	(fepG) iron-enterobactin transporter permease [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	20270	21064	+	fepC	1-795/795	===============	0/0	100.00	99.50	vfdb	WP_002893737	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	21129	25010	-	entF	1-3882/3882	===============	0/0	100.00	98.94	vfdb	WP_012737619	(entF) enterobactin synthase subunit F [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	25252	26460	-	fes	1-1209/1209	===============	0/0	100.00	98.92	vfdb	WP_012737618	(fes) enterobactin/ferric enterobactin esterase [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	26720	28948	+	fepA	1-2229/2229	===============	0/0	100.00	99.06	vfdb	WP_012737617	(fepA) outer membrane receptor FepA [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_11_length_170657_cov_25.331856	29015	29484	+	entD	1-470/630	============...	0/0	74.60	98.72	vfdb	WP_004183335	(entD) enterochelin synthetase component D [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_12_length_161193_cov_24.295644	19605	20639	-	pmrB	24-1058/1071	========/======	10/22	95.61	66.44	vfdb	NP_463156	(pmrB) sensory kinase PmrB [PmrAB (VF1355) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_12_length_161193_cov_24.295644	20692	21324	-	pmrA	17-649/669	========/======	2/2	94.47	73.19	vfdb	NP_463157	(pmrA) response regulator PmrA [PmrAB (VF1355) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_14_length_150805_cov_23.095968	3922	4771	+	galU	4-859/888	========/======	1/6	95.72	68.92	vfdb	WP_005693178	(galU) glucosephosphate uridylyltransferase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus influenzae Rd KW20]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_14_length_150805_cov_23.095968	112307	112624	+	fepC	298-615/795	.....===/===...	2/6	39.62	68.22	vfdb	WP_002893737	(fepC) iron-enterobactin transporter ATP-binding protein [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_15_length_142607_cov_23.404231	105680	106385	+	flmH	26-731/735	========/======	4/6	95.65	72.36	vfdb	WP_005300916	(flmH) short chain dehydrogenase/reductase family oxidoreductase [Polar flagella (VF0473) - Motility (VFC0204)] [Aeromonas hydrophila ML09-119]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_15_length_142607_cov_23.404231	120712	122901	-	iutA	1-2190/2190	===============	0/0	100.00	99.54	vfdb	WP_014907843	(iutA) ferric aerobactin receptor IutA [Aerobactin (VF0565) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_16_length_137902_cov_23.419924	73125	73822	+	vasE/tssK	640-1337/1344	......==/======	11/14	51.41	69.22	vfdb	WP_004224345	(vasE/tssK) type VI secretion system baseplate subunit TssK [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_16_length_137902_cov_23.419924	86426	87569	+	icmF/tssM	1833-2988/3456	.......=/=====.	12/30	32.84	67.64	vfdb	WP_049127998	(icmF/tssM) type VI secretion protein TssM [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_16_length_137902_cov_23.419924	88168	89931	+	tssF	1-1755/1755	========/======	29/57	98.63	67.17	vfdb	WP_004190505	(tssF) type VI secretion system baseplate subunit TssF [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_16_length_137902_cov_23.419924	89896	90506	+	tssG	2-618/1086	========/......	10/18	55.71	67.58	vfdb	WP_004190503	(tssG) type VI secretion system baseplate subunit TssG [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_16_length_137902_cov_23.419924	91506	91922	+	tssE2	16-432/450	===============	0/0	92.67	74.58	vfdb	WP_077064471	(tssE2) type VI secretion system baseplate subunit TssE [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_16_length_137902_cov_23.419924	107668	108437	+	kdsA	1-770/855	========/=====.	2/6	89.71	69.47	vfdb	WP_005693586	(kdsA) 2-dehydro-3-deoxyphosphooctonate aldolase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus influenzae Rd KW20]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_16_length_137902_cov_23.419924	133021	134076	+	narH	25-1086/1677	========/==....	16/32	62.19	66.23	vfdb	NP_215678	(narH) nitrate reductase subunit beta [Nitrate reductase (VF0302) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium tuberculosis H37Rv]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_17_length_129776_cov_27.699550	65654	67780	-	fepA	112-2229/2229	========/======	16/25	94.66	75.32	vfdb	WP_012737617	(fepA) outer membrane receptor FepA [Ent (VF0562) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_17_length_129776_cov_27.699550	124824	125929	-	icl	196-1280/1287	..======/======	13/41	83.53	67.03	vfdb	YP_177728	(icl) Isocitrate lyase Icl (isocitrase) (isocitratase) [Isocitrate lyase (VF0253) - Others (VFC0346)] [Mycobacterium tuberculosis H37Rv]	
/home/lyn-zihumo/kpneumoniae/assembly/ERR3569677/contigs.fasta	NODE_18_length_128853_cov_24.579906	49063	49686	-	rcsA	1-624/624	===============	0/0	100.00	99.84	vfdb	WP_002911561	(rcsA) transcriptional activator for ctr capsule biosynthesis [RcsAB (VF0571) - Regulation (VFC0301)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
